id,title,fileType,date,description,name,tags,digital
980917,Shading Gang (digital),png,17/6/2022,,4+1,"oc, the gang",1
980918,Shading Gang (trad),jpg,23/2/2019,,4+1_1,"oc, the gang",0
980919,Shading Gang (trad),jpg,0/0/2019,,4+1_2,"oc, the gang",0
980920,Shading Gang (trad),jpg,0/0/2019,,4+1og,"oc, the gang",0
980921,HMS Illustrious ,jpg,12/11/2024,made up swimsuit,azuribeeb,"fanart, azur lane, fullbody, flat, HMS",1
980922,MNF Jean Bart,jpg,19/1/2025,Azur Lane MNF Jean Bart dinner outfit,azurjeanbart,"fanart, azur lane, fullbody, flat, jean bart, MNF",1
980923,SN Murmansk,jpg,18/1/2025,Azur Lane SN Murmansk 2025 new years outfit,azurmurm,"fanart, azur lane, fullbody, flat, murmansk, SN",1
980924,USS Portland,jpg,12/11/2024,made up wedding outfit,azurportland,"fanart, azur lane, fullbody, flat, USS",1
980925,Colour Sketch (Blue),jpg,25/12/2019,"Not really sure what to drew, so I just started sketching and let everything flow.",bluesketch,sketch,1
980926,Colour Sketch (Blue II),jpg,10/1/2020,I'm quite fond of the date hueh. I want a person that could look at me like this hngg. I'd melt.,bluesketch2,sketch,1
980927,ce,jpg,14/2/2020,"This is the second piece of the set 'JUICE', with its predecessor being 'jui'. ",ce,juice,1
980928,Cheese,png,14/1/2018,A selfie!,cheese,"oc, noel, melodia",1
980929,Chrysanthemum (day),png,25/5/2022,"Drawn during a live stream, of me original character: Chrysanthemum",chrys0,"oc, sketch, chrysanthemum, mode",1
980930,Chrysanthemum (night),png,25/5/2022,Alt version of the previous piece.,chrys1,"oc, sketch, chrysanthemum, mode",1
980931,Night in the Library,jpg,30/9/2024,,chrysbooks,"oc, chrysanthemum, lighting, complete",1
980932,Happy Halloween 2024,jpg,9/10/2024,,chryshallo,"oc, chrysanthemum",1
980933,Twitter Pose Trend,jpg,0/0/2025,,chryslay,"oc, chrysanthemum",1
980934,Chrysanthemum sketch,jpg,31/12/2024,,chryssketch1,"oc, sketch, chrysanthemum",1
980935,Chrysanthemum sketch,jpg,30/12/2024,,chryssketch2,"oc, sketch, chrysanthemum",1
980936,Chrysanthemum,jpg,27/6/2025,,chryssmile,"oc, chrysanthemum",1
980937,?,jpg,21/4/2019,"instead of dark background, why not try minimal?",clari,lighting,1
980938,Hapi -13th B'day Connor,jpg,15/8/2025,Happy -13th birthday to Connor-51 from Detroit: Become Human,connorbday,"fanart, dbh, half",1
980939,,jpg,0/10/2025,,cxnt,"fullbody, flat",1
980940,Chloe,jpg,29/1/2025,,dbhchloe,"fanart, dbh, fullbody, flat",1
980941,Connor,jpg,2/2/2025,,dbhcon0,"fanart, dbh, connor, led, complete",1
980942,Connor (Alt),jpg,2/2/2025,,dbhcon1,"fanart, dbh, connor, led, complete",1
980943,Connor Hair Practice,jpg,12/2/2025,,dbhcon2,"fanart, dbh, connor",1
980944,Heart LED Connor,jpg,14/2/2025,Valentine's Day SP,dbhcon3,"fanart, dbh, connor, complete",1
980945,Dewey,jpg,18/2/2025,,dbhcondew,"fanart, dbh, connor, dewey, complete, lighting",1
980946,Connor Companion Ball,jpg,16/6/2025,,dbhconnorball,"fanart, dbh, connor, ball, half",1
980947,ZZZ,jpg,26/1/2025,,dbhconsumo,"fanart, dbh, connor, sumo, half",1
980948,Kara,jpg,9/2/2025,,dbhkara1,"fanart, dbh, kara, led, complete",1
980949,Kara (Alt),jpg,9/2/2025,,dbhkara2,"fanart, dbh, kara, led, complete",1
980950,Kara Companion Ball,jpg,23/6/2025,,dbhkaraball,"fanart, dbh, kara, half, ball",1
980951,Duel Time!,jpg,20/1/2025,,dbhkararoom,"fanart, dbh, kara, half",1
980952,Markus Companion Ball,jpg,21/6/2025,,dbhmarkusball,"fanart, dbh, markus, ball, half",1
980953,Genius Hunter?,jpg,19/1/2025,Oshi no Ko crossover!,dbhoshinoko,"fanart, dbh, markus, connor, half, comic",1
980954,,jpg,28/3/2025,,dbhrus,"fanart, dbh, connor, hank, complete, lighting",1
980955,Detroit: Become Farmer,jpg,7/8/2025,Stardew Valley crossover!,dbhstar,"fanart, dbh, stardew, connor, hank, fullbody",1
980956,Double,png,21/4/2019,A little distraction during assesment times.,double,fullbody,1
980957,?,png,30/4/2018,I like drawing my highschool uniform cause they're just…so easy to draw.,down,"sketch, lookdown",1
980958,Turtle Eye,jpg,6/10/2025,the turtle anatomy looked like an anime eye so…,eye,complete,1
980959,gabi debut,jpg,5/7/2025,,gabi1,"oc, stardew, gabi, sketch",1
980960,gabi starting fit,jpg,5/7/2025,,gabi2,"oc, stardew, gabi, flat, fullbody",1
980961,gabi winter,jpg,12/7/2025,,gabi4,"oc, stardew, gabi, flat, fullbody",1
980962,gabi spring dance,jpg,13/7/2025,,gabi5,"oc, stardew, gabi, flat, fullbody",1
980963,gabi hatched something weird,jpg,14/7/2025,,gabi6,"oc, stardew, gabi, flat, half",1
980964,gabi spring dance 2,jpg,18/7/2025,,gabi7,"oc, stardew, gabi, flat, fullbody",1
980965,gabi dungeon crawling,jpg,21/7/2025,,gabi8,"oc, stardew, gabi, flat, half",1
980966,gabi spirit's fest,jpg,28/7/2025,,gabi9,"oc, stardew, gabi, flat, fullbody",1
980967,gabi winter 2,jpg,29/7/2025,,gabi10,"oc, stardew, gabi, flat, fullbody",1
980968,gabi spring dance 3,jpg,8/8/2025,,gabi11,"oc, stardew, gabi, flat, fullbody",1
980969,gabi winter star,jpg,8/8/2025,,gabi12,"oc, stardew, gabi, flat",1
980970,gabi,jpg,9/8/2025,,gabi13,"oc, stardew, gabi, flat, fullbody",1
980971,gabi ,jpg,31/8/2025,,gabicov,"oc, stardew, gabi, flat",1
980972,HALC debut,jpg,14/9/2025,,halc,"oc, stardew, halc, sketch",1
980973,HALC default fit,jpg,22/9/2025,,halc2,"oc, stardew, halc, fullbody",1
980974,Hapi B'day Hank,jpg,6/9/2025,,hankbday,"fanart, dbh, half, hank",1
980975,Losing My Mind,jpg,17/5/2018,,headless,sketch,1
980976,USS Honolulu Casual,jpg,4/8/2025,,honolulu,"fanart, azur lane, fullbody, flat, USS",1
980977,?,png,22/4/2018,,huggo,"oc, melodia, noel",1
980978,Ika ref,png,21/6/2017,,ika,"oc, ref, ika",1
980979,ju,jpg,12/2/2020,"This is the first piece of the set 'JUICE', with its successor being 'ice'. ",jui,juice,1
980980,Lighting Practice,png,27/11/2017,,light,lighting,1
980981,Look at Me,png,29/6/2018,,lookatme,,1
980982,Luigi World,jpg,0/0/2017,School assesment on Mario. See my portfolio website from my about page for more~,marioooo,uni,1
980983,Melodia,png,14/11/2017,,melodia,"oc, melodia, fullbody",1
980984,Mermay 2018,jpg,0/05/2018,"Mermay is a thing, I'd say? Not so sure what you'd call that but it is essentially a month of May, the art community draws mermaids under the tag #mermay. I'm not trendy, but I do like to join the flow sometimes :)",mermay2018,half,1
980985,Nana outfit concept,png,22/9/2022,,Nana_outfit1,"oc, nana, outfit, fullbody",1
980986,Nana fits,png,22/9/2022,,Nana_outfits,"oc, nana, outfit, fullbody",1
980987,Nana fits 2,png,22/9/2022,,nana_outfits2,"oc, nana, outfit, fullbody",1
980988,?,png,29/3/2020,"My first ever big piece after getting a tablet hehehehehehe. I've always wanted to do a large canvas and a lot of amazing details. Unfortunately my skills are insufficient for such details so I went for just a big canvas. My favourite was actually the bookshelf, where I spent the most time on. I was pretty stressed my assignments at that time so this was actually my stress drawing. I drew the sky as well, but it wasnt that much fun just putting dots on your screen :)",night,lighting,1
980989,No,jpg,21/4/2019,,no,lighting,1
980990,????,jpg,3/5/2019,,noeye,,1
980991,,jpg,28/6/2016,,noname2,,1
980992,Insufficient,png,19/3/2019,,notenough,lighting,1
980993,Nyan,jpg,19/1/2020,?,nyan,,1
980994,OC compilation,png,0/0/2020,,oc_scroll,"oc, melodia, sebastian, noel, skylar, winston, ika, yuyou, tako",1
980995,Outfit Sketch,jpg,0/0/2022,,outfit0,"oc, chrysanthemum, outfit",1
980996,Outfit Sketch,jpg,0/0/2022,,outfit1,"oc, chrysanthemum, outfit",1
980997,Outfit Sketch,jpg,0/0/2022,,outfit2,"oc, chrysanthemum, outfit",1
980998,Outfit Sketch,jpg,0/0/2022,,outfit3,"oc, chrysanthemum, outfit",1
980999,Outfit Sketch,jpg,0/0/2022,,outfit4,"oc, chrysanthemum, outfit",1
981000,Outfit Sketch,jpg,0/0/2022,,outfit5,"oc, chrysanthemum, outfit",1
981001,Outfit Sketch,jpg,0/0/2022,,outfit6,"oc, chrysanthemum, outfit",1
981002,Outfit Sketch,jpg,0/0/2022,,outfit7,"oc, chrysanthemum, outfit",1
981003,Outfit Sketch,jpg,0/0/2022,,outfit8,"oc, chrysanthemum, outfit",1
981004,Outfit Sketch,jpg,0/0/2022,,outfit9,"oc, chrysanthemum, outfit",1
981005,OC Halloween Outfit,jpg,13/10/2024,,outfit10,"oc, chrysanthemum, outfit, fullbody",1
981006,OC Halloween Outfit,jpg,13/10/2024,,outfit11,"oc, chrysanthemum, outfit, fullbody",1
981007,Group Photo,png,29/11/2017,,partay,"oc, melodia, sebastian, noel, jenny",1
981008,Pose practice,png,18/5/2022,,poseprac,"oc, chrysanthemum, sketch",1
981009,Pose practice,png,17/5/2022,,poseprac2,"oc, chrysanthemum, posewip",1
981010,Pose practice (wip),png,16/5/2022,,poseprac2wip,"oc, chrysanthemum, posewip",1
981011,Pose practive,png,12/5/2022,,poseprac3,"oc, chrysanthemum",1
981012,Headless,jpg,1/6/2018,"Red eyeliners facinates me. I would wanna try, but in reality I reckon I might just look like someone from the peking opera.",redeye,,1
981013,Rose,jpg,26/10/2017,,rose,,1
981014,?,png,17/3/2019,,see,lighting,1
981015,Serena debut,jpg,22/8/2025,,serena,"oc, stardew, serena, sketch",1
981016,Serena cover,jpg,23/8/2025,,serenacov,"oc, stardew, serena, flat",1
981017,Serena warm/cold outfit,jpg,23/8/2025,,serenaoutfit,"oc, stardew, serena, fullbody, flat",1
981018,Lighting Practice,png,18/11/2018,,shade,"lighting, sketch",1
981019,Lilies,png,8/1/2018,,sit,,1
981020,The Sky I,png,17/1/2016,The girl being the sky itself.,sky,"oc, sky, complete",1
981021,The Sky II,png,19/1/2016,"Playing around with perspective with Sky, one of my characters with galaxy hair and skies as her clothes.",skyagain,"oc, sky, complete",1
981022,Snow,jpg,19/4/2019,It's getting cold lately. I do not like it.,snow,,1
981023,Stripes,png,16/6/2017,,stripes,fullbody,1
981024,together,png,3/4/2020,It was from a lineart I did back in 2019 and just. Forgot about it. Well mostly cause I do not want to colour it with my fingers that’s all. I still do not have a tablet back than and anything digital was done on my phone. I think my phone storage went out of space on multiple occasions cause my art files were too big lol.,together,"lighting, complete",1
981025,Untitled,png,29/7/2018,tired,ugh,sketch,1
981026,?,png,30/4/2018,I quite like to colour red eyes.,up,"sketch, lookdown",1
