id,title,fileType,date,description,name,tags,digital
c2022,Spades  A,png,0/0/2022,,spadesA,playing cards,1
c2023,Spades 2,png,0/0/2022,,spades2,playing cards,1
c2024,Spades 3,png,0/0/2022,,spades3,playing cards,1
c2025,Spades 4,png,0/0/2022,,spades4,playing cards,1
c2026,Spades 5,png,0/0/2022,,spades5,playing cards,1
c2027,Spades 6,png,0/0/2022,,spades6,playing cards,1
c2028,Spades 7,png,0/0/2022,,spades7,playing cards,1
c2029,Spades 8,png,0/0/2022,,spades8,playing cards,1
c2030,Spades 9,png,0/0/2022,,spades9,playing cards,1
c2031,Spades 10,png,0/0/2022,,spades10,playing cards,1
c2032,Spades J,png,0/0/2022,,spadesJ,playing cards,1
c2033,Spades Q,png,0/0/2022,,spadesQ,playing cards,1
c2034,Spades K,png,0/0/2022,,spadesK,playing cards,1
c2035,(old)SpadesA,png,0/0/2014,First version,spadesA_2014,playing cards,1
c2036,Heart A,png,0/0/2022,,heartA,playing cards,1
c2037,Heart 2,png,0/0/2022,,heart2,playing cards,1
c2038,Heart 3,png,0/0/2022,,heart3,playing cards,1
c2039,Heart 4,png,0/0/2022,,heart4,playing cards,1
c2040,Heart 5,png,0/0/2022,,heart5,playing cards,1
c2041,Heart 6,png,0/0/2022,,heart6,playing cards,1
c2042,Heart 7,png,0/0/2022,,heart7,playing cards,1
c2043,Heart 8,png,0/0/2022,,heart8,playing cards,1
c2044,Heart 9,png,0/0/2022,,heart9,playing cards,1
c2045,Heart 10,png,0/0/2022,,heart10,playing cards,1
c2046,Heart J,png,0/0/2022,,heartJ,playing cards,1
c2047,Heart Q,png,0/0/2022,,heartQ,playing cards,1
c2048,Heart K,png,0/0/2022,,heartK,playing cards,1
c2049,(old)HeartQ,png,0/0/2016,An attempt to rekindle an old series,heartQ_2016,playing cards,1
c2050,Diamond A,png,0/0/2022,,diamondA,playing cards,1
c2051,Diamond 2,png,0/0/2022,,diamond2,playing cards,1
c2052,Diamond 3,png,0/0/2022,,diamond3,playing cards,1
c2053,Diamond 4,png,0/0/2022,,diamond4,playing cards,1
c2054,Diamond 5,png,0/0/2022,,diamond5,playing cards,1
c2055,Diamond 6,png,0/0/2022,,diamond6,playing cards,1
c2056,Diamond 7,png,0/0/2022,,diamond7,playing cards,1
c2057,Diamond 8,png,0/0/2022,,diamond8,playing cards,1
c2058,Diamond 9,png,0/0/2022,,diamond9,playing cards,1
c2059,Diamond 10,png,0/0/2022,,diamond10,playing cards,1
c2060,Diamond J,png,0/0/2022,,diamondJ,playing cards,1
c2061,Diamond Q,png,0/0/2022,,diamondQ,playing cards,1
c2062,Diamond K,png,0/0/2022,,diamondK,playing cards,1
c2063,Clubs A,png,0/0/2022,,clubsA,playing cards,1
c2064,Clubs 2,png,0/0/2022,,clubs2,playing cards,1
c2065,Clubs 3,png,0/0/2022,,clubs3,playing cards,1
c2066,Clubs 4,png,0/0/2022,,clubs4,playing cards,1
c2067,Clubs 5,png,0/0/2022,,clubs5,playing cards,1
c2068,Clubs 6,png,0/0/2022,,clubs6,playing cards,1
c2069,Clubs 7,png,0/0/2022,,clubs7,playing cards,1
c2070,Clubs 8,png,0/0/2022,,clubs8,playing cards,1
c2071,Clubs 9,png,0/0/2022,,clubs9,playing cards,1
c2072,Clubs 10,png,0/0/2022,,clubs10,playing cards,1
c2073,Clubs J,png,0/0/2022,,clubsJ,playing cards,1
c2074,Clubs Q,png,0/0/2022,,clubsQ,playing cards,1
c2075,Clubs K,png,0/0/2022,,clubsK,playing cards,1
