id,title,fileType,date,description,name,tags,digital,thumbPath
980917,Shading Gang (digital),png,17/6/2022,,4+1,"oc, the gang",1,.\public\assets\thumbnails\4+1.jpg
980918,Shading Gang (trad),jpg,23/2/2019,,4+1_1,"oc, the gang",0,.\public\assets\thumbnails\4+1_1.jpg
980919,Shading Gang (trad),jpg,0/0/2019,,4+1_2,"oc, the gang",0,.\public\assets\thumbnails\4+1_2.jpg
980920,Shading Gang (trad),jpg,0/0/2019,,4+1og,"oc, the gang",0,.\public\assets\thumbnails\4+1og.jpg
981069,Ezio (Assassin's Creed 2),jpg,14/7/2024,,acezio,"fanart, ac, fullbody, flat, acanimal",1,.\public\assets\thumbnails\acezio.jpg
981071,Ezio (Assassin's Creed 2),jpg,28/6/2024,,acezio1,"fanart, ac",1,.\public\assets\thumbnails\acezio1.jpg
981072,Ezio (Assassin's Creed 2),jpg,27/6/2024,,acezio2,"fanart, ac",1,.\public\assets\thumbnails\acezio2.jpg
981095,Ezio & Rosa (Assassin's Creed 2),png,2/8/2024,,aceziorosa,"fanart, ac, half",1,.\public\assets\thumbnails\aceziorosa.jpg
981068,Leonardo da Vinci (Assassin's Creed 2),jpg,16/7/2024,,acleo,"fanart, ac, fullbody, flat, acanimal",1,.\public\assets\thumbnails\acleo.jpg
981073,Leonardo da Vinci (Assassin's Creed 2),jpg,17/6/2024,,acleo1,"fanart, ac",1,.\public\assets\thumbnails\acleo1.jpg
981066,Rosa (Assassin's Creed 2),jpg,13/7/2024,,acrosa,"fanart, ac, fullbody, flat, acanimal",1,.\public\assets\thumbnails\acrosa.jpg
981070,Rosa (Assassin's Creed 2),jpg,10/7/2024,,acrosa2,"fanart, ac",1,.\public\assets\thumbnails\acrosa2.jpg
981067,Yusuf (Assassin's Creed: Revelations),jpg,18/7/2024,,acyusuf,"fanart, ac, fullbody, flat, acanimal",1,.\public\assets\thumbnails\acyusuf.jpg
981077,Pramanix (Arknights),jpg,2/2/2023,,arkpra,"fanart, arknights",1,.\public\assets\thumbnails\arkpra.jpg
981048,???,png,13/3/2024,,azlaneog,"fanart, USS, HMS, IJN,KMS, azur lane, half, flat",1,.\public\assets\thumbnails\azlaneog.jpg
