id,title,fileType,date,description,name,tags,digital,thumbPath
az001,azur365 2023 Day 1,png,1/1/2023,IJN Suruga,1_suruga,"azur365, fanart, azur lane, chibi, IJN, suruga",1,.\public\assets\thumbnails\azur365\1_suruga.jpg
az002,azur365 2023 Day 2,png,2/1/2023,SN Murmansk,2_murmansk,"azur365, fanart, azur lane, chibi, SN, murmansk",1,.\public\assets\thumbnails\azur365\2_murmansk.jpg
az003,azur365 2023 Day 3,png,3/1/2023,MNF Jean Bart,3_jean_bart,"azur365, fanart, azur lane, chibi, MNF, jean bart",1,.\public\assets\thumbnails\azur365\3_jean_bart.jpg
az004,azur365 2023 Day 4,png,4/1/2023,IJN Azuma,4_azuma,"azur365, fanart, azur lane, chibi, IJN, azuma",1,.\public\assets\thumbnails\azur365\4_azuma.jpg
az005,azur365 2023 Day 5,png,5/1/2023,RN Pompeo Magno,5_pompeo_magno,"azur365, fanart, azur lane, chibi, RN, pompeo magno",1,.\public\assets\thumbnails\azur365\5_pompeo_magno.jpg
az006,azur365 2023 Day 6,png,6/1/2023,USS Long Island,6_long_island,"azur365, fanart, azur lane, chibi, USS",1,.\public\assets\thumbnails\azur365\6_long_island.jpg
az007,azur365 2023 Day 7,png,7/1/2023,IJN Ayanami,7_Ayanami,"azur365, fanart, azur lane, chibi, IJN",1,.\public\assets\thumbnails\azur365\7_Ayanami.jpg
az008,azur365 2023 Day 8,png,8/1/2023,HMS Juno,8_juno,"azur365, fanart, azur lane, chibi, HMS",1,.\public\assets\thumbnails\azur365\8_juno.jpg
az009,azur365 2023 Day 9,png,9/1/2023,USS Northampton,9_northampton,"azur365, fanart, azur lane, chibi, USS",1,.\public\assets\thumbnails\azur365\9_northampton.jpg
az010,azur365 2023 Day 10,png,10/1/2023,HMS Comet,10_comet,"azur365, fanart, azur lane, chibi, HMS",1,.\public\assets\thumbnails\azur365\10_comet.jpg
az011,azur365 2023 Day 11,png,11/1/2023,USS Craven,11_craven,"azur365, fanart, azur lane, chibi, USS",1,.\public\assets\thumbnails\azur365\11_craven.jpg
az012,azur365 2023 Day 12,png,12/1/2023,HMS Repulse,12_repulse,"azur365, fanart, azur lane, chibi, HMS",1,.\public\assets\thumbnails\azur365\12_repulse.jpg
az013,azur365 2023 Day 13,png,13/1/2023,HMS Foxhound,13_foxhound,"azur365, fanart, azur lane, chibi, HMS",1,.\public\assets\thumbnails\azur365\13_foxhound.jpg
az014,azur365 2023 Day 14,png,14/1/2023,USS Omaha,14_omaha,"azur365, fanart, azur lane, chibi, USS",1,.\public\assets\thumbnails\azur365\14_omaha.jpg
az015,azur365 2023 Day 15,png,15/1/2023,USS Aulick,15_aulick,"azur365, fanart, azur lane, chibi, USS",1,.\public\assets\thumbnails\azur365\15_aulick.jpg
az016,azur365 2023 Day 16,png,16/1/2023,USS Raleigh,16_raleigh,"azur365, fanart, azur lane, chibi, USS",1,.\public\assets\thumbnails\azur365\16_raleigh.jpg
az017,azur365 2023 Day 17,png,17/1/2023,USS Mccall,17_mcCall,"azur365, fanart, azur lane, chibi, USS",1,.\public\assets\thumbnails\azur365\17_mcCall.jpg
az018,azur365 2023 Day 18,png,18/1/2023,Universal Bulin,18_universal_bulin,"azur365, fanart, azur lane, chibi, none",1,.\public\assets\thumbnails\azur365\18_universal_bulin.jpg
az019,azur365 2023 Day 19,png,19/1/2023,HMS Crescent,19_crescent,"azur365, fanart, azur lane, chibi, HMS",1,.\public\assets\thumbnails\azur365\19_crescent.jpg
az020,azur365 2023 Day 20,png,20/1/2023,USS Spence,20_spence,"azur365, fanart, azur lane, chibi, USS",1,.\public\assets\thumbnails\azur365\20_spence.jpg
az021,azur365 2023 Day 21,png,21/1/2023,HMS Cygnet,21_cygnet,"azur365, fanart, azur lane, chibi, HMS",1,.\public\assets\thumbnails\azur365\21_cygnet.jpg
az022,azur365 2023 Day 22,png,22/1/2023,USS Cassin,22_cassin,"azur365, fanart, azur lane, chibi, USS",1,.\public\assets\thumbnails\azur365\22_cassin.jpg
az023,azur365 2023 Day 23,png,23/1/2023,Prototype Bulin Mk II,23_prototype_bulin_MK_II,"azur365, fanart, azur lane, chibi, none",1,.\public\assets\thumbnails\azur365\23_prototype_bulin_MK_II.jpg
