id,title,fileType,date,description,name,tags,digital,thumbPath
c202201,Clubs A,png,23/6/2022,,clubs1,"playing cards, clubs",1,.\public\assets\thumbnails\cards\clubs1.jpg
c202202,Clubs 2,png,27/6/2022,,clubs2,"playing cards, clubs",1,.\public\assets\thumbnails\cards\clubs2.jpg
c202203,Clubs 3,png,4/7/2022,,clubs3,"playing cards, clubs",1,.\public\assets\thumbnails\cards\clubs3.jpg
c202204,Clubs 4,png,8/7/2022,,clubs4,"playing cards, clubs",1,.\public\assets\thumbnails\cards\clubs4.jpg
c202205,Clubs 5,png,17/7/2022,,clubs5,"playing cards, clubs",1,.\public\assets\thumbnails\cards\clubs5.jpg
c202206,Clubs 6,png,18/7/2022,,clubs6,"playing cards, clubs",1,.\public\assets\thumbnails\cards\clubs6.jpg
c202207,Clubs 7,png,21/7/2022,,clubs7,"playing cards, clubs",1,.\public\assets\thumbnails\cards\clubs7.jpg
c202208,Clubs 8,png,24/7/2022,,clubs8,"playing cards, clubs",1,.\public\assets\thumbnails\cards\clubs8.jpg
c202209,Clubs 9,png,25/7/2022,,clubs9,"playing cards, clubs",1,.\public\assets\thumbnails\cards\clubs9.jpg
c202210,Clubs 10,png,27/7/2022,,clubs10,"playing cards, clubs",1,.\public\assets\thumbnails\cards\clubs10.jpg
c202211,Clubs J,png,29/7/2022,,clubs11,"playing cards, clubs",1,.\public\assets\thumbnails\cards\clubs11.jpg
c202212,Clubs Q,png,1/8/2022,,clubs12,"playing cards, clubs",1,.\public\assets\thumbnails\cards\clubs12.jpg
c202213,Clubs K,png,26/9/2022,,clubs13,"playing cards, clubs",1,.\public\assets\thumbnails\cards\clubs13.jpg
c202214,Diamond A,png,25/6/2022,,diamond1,"playing cards, diamond",1,.\public\assets\thumbnails\cards\diamond1.jpg
c202215,Diamond 2,png,30/6/2022,,diamond2,"playing cards, diamond",1,.\public\assets\thumbnails\cards\diamond2.jpg
c202216,Diamond 3,png,5/7/2022,,diamond3,"playing cards, diamond",1,.\public\assets\thumbnails\cards\diamond3.jpg
c202217,Diamond 4,png,8/7/2022,,diamond4,"playing cards, diamond",1,.\public\assets\thumbnails\cards\diamond4.jpg
c202218,Diamond 5,png,18/7/2022,,diamond5,"playing cards, diamond",1,.\public\assets\thumbnails\cards\diamond5.jpg
c202219,Diamond 6,png,19/7/2022,,diamond6,"playing cards, diamond",1,.\public\assets\thumbnails\cards\diamond6.jpg
c202220,Diamond 7,png,21/7/2022,,diamond7,"playing cards, diamond",1,.\public\assets\thumbnails\cards\diamond7.jpg
c202221,Diamond 8,png,24/7/2022,,diamond8,"playing cards, diamond",1,.\public\assets\thumbnails\cards\diamond8.jpg
c202222,Diamond 9,png,26/7/2022,,diamond9,"playing cards, diamond",1,.\public\assets\thumbnails\cards\diamond9.jpg
c202223,Diamond 10,png,27/7/2022,,diamond10,"playing cards, diamond",1,.\public\assets\thumbnails\cards\diamond10.jpg
c202224,Diamond J,png,31/7/2022,,diamond11,"playing cards, diamond",1,.\public\assets\thumbnails\cards\diamond11.jpg
c202225,Diamond Q,png,2/8/2022,,diamond12,"playing cards, diamond",1,.\public\assets\thumbnails\cards\diamond12.jpg
c202226,Diamond K,png,25/9/2022,,diamond13,"playing cards, diamond",1,.\public\assets\thumbnails\cards\diamond13.jpg
c202227,Heart A,png,24/6/2022,,heart1,"playing cards, heart",1,.\public\assets\thumbnails\cards\heart1.jpg
c202228,Heart 2,png,25/6/2022,,heart2,"playing cards, heart",1,.\public\assets\thumbnails\cards\heart2.jpg
c202229,Heart 3,png,4/7/2022,,heart3,"playing cards, heart",1,.\public\assets\thumbnails\cards\heart3.jpg
c202230,Heart 4,png,7/7/2022,,heart4,"playing cards, heart",1,.\public\assets\thumbnails\cards\heart4.jpg
c202231,Heart 5,png,16/7/2022,,heart5,"playing cards, heart",1,.\public\assets\thumbnails\cards\heart5.jpg
c202232,Heart 6,png,18/7/2022,,heart6,"playing cards, heart",1,.\public\assets\thumbnails\cards\heart6.jpg
c202233,Heart 7,png,21/7/2022,,heart7,"playing cards, heart",1,.\public\assets\thumbnails\cards\heart7.jpg
c202234,Heart 8,png,22/7/2022,,heart8,"playing cards, heart",1,.\public\assets\thumbnails\cards\heart8.jpg
c202235,Heart 9,png,25/7/2022,,heart9,"playing cards, heart",1,.\public\assets\thumbnails\cards\heart9.jpg
c202236,Heart 10,png,26/7/2022,,heart10,"playing cards, heart",1,.\public\assets\thumbnails\cards\heart10.jpg
c202237,Heart J,png,30/7/2022,,heart11,"playing cards, heart",1,.\public\assets\thumbnails\cards\heart11.jpg
c202238,Heart Q,png,31/7/2022,,heart12,"playing cards, heart",1,.\public\assets\thumbnails\cards\heart12.jpg
c202239,Heart K,png,24/8/2022,,heart13,"playing cards, heart",1,.\public\assets\thumbnails\cards\heart13.jpg
