id,title,fileType,date,description,name,tags,digital,thumbPath
chib001,Nakiri Ayame Sport,png,9/2/2023,,ayame,"chibi, fanart, hololive",1,.\public\assets\thumbnails\chibi\ayame.jpg
chib002,Nakiri Ayame Summer!,jpg,2/8/2023,,ayame1,"chibi, fanart, hololive",1,.\public\assets\thumbnails\chibi\ayame1.jpg
chib003,Nakiri Ayame Autumn,jpg,21/8/2023,,ayame2,"chibi, fanart, hololive, autumn",1,.\public\assets\thumbnails\chibi\ayame2.jpg
chib004,Nakiri Ayame Autumn (Alt),jpg,21/8/2023,,ayame2alt,"chibi, fanart, hololive, autumn",1,
chib005,Azuma,png,7/8/2023,,azazuma,"chibi, fanart, azur lane, azuma, IJN",1,.\public\assets\thumbnails\chibi\azazuma.jpg
chib006,Bataan,png,9/8/2023,,azbataan,"chibi, fanart, azur lane, USS",1,.\public\assets\thumbnails\chibi\azbataan.jpg
chib007,Jean Bart,png,7/8/2023,,azjeanbart,"chibi, fanart, azur lane, jean bart, MNF",1,.\public\assets\thumbnails\chibi\azjeanbart.jpg
chib008,Murmansk,png,7/8/2023,,azmurm,"chibi, fanart, azur lane, murmansk, SN",1,.\public\assets\thumbnails\chibi\azmurm.jpg
chib009,Pompeo Magno,png,8/8/2023,,azpom,"chibi, fanart, azur lane, pompeo magno, RN",1,.\public\assets\thumbnails\chibi\azpom.jpg
chib010,Suruga,png,7/8/2023,,azsuruga,"chibi, fanart, azur lane, suruga, IJN",1,.\public\assets\thumbnails\chibi\azsuruga.jpg
chib011,Illustrious,jpg,10/11/2024,,azurchibiibeeb,"chibi, fanart, azur lane, HMS",1,.\public\assets\thumbnails\chibi\azurchibiibeeb.jpg
chib012,Portland,jpg,11/11/2024,,azurchibipl,"chibi, fanart, azur lane, USS",1,.\public\assets\thumbnails\chibi\azurchibpl.jpg
chib013,Volga,png,8/8/2023,,azvolga,"chibi, fanart, azur lane, volga, SN",1,.\public\assets\thumbnails\chibi\azvolga.jpg
chib014,Happy New Year 2025,jpg,1/1/2025,,chryschib,"chibi, oc, chrysanthemum",1,.\public\assets\thumbnails\chibi\chryschib.jpg
chib015,Happy Halloween 2024,jpg,31/10/2024,,chryschib2,"chibi, oc, chrysanthemum",1,.\public\assets\thumbnails\chibi\chryschib2.jpg
chib016,Chrysanthemum,png,9/8/2023,,chryschib3,"chibi, oc, chrysanthemum",1,.\public\assets\thumbnails\chibi\chryschib3.jpg
chib017,Chrysanthemum (Fallout 4),png,18/6/2023,,chryschib4,"chibi, oc, chrysanthemum, fo4",1,.\public\assets\thumbnails\chibi\chryschib4.jpg
chib018,Chrysanthemum,jpg,6/9/2024,,chryschib5,"chibi, oc, chrysanthemum",1,.\public\assets\thumbnails\chibi\chryschib5.jpg
chib019,Chrysanthemum,png,9/8/2023,,chrysdin,"chibi, oc, chrysanthemum",1,.\public\assets\thumbnails\chibi\chrysdin.jpg
chib020,Chrysanthemum,png,9/8/2023,,chrysswim,"chibi, oc, chrysanthemum",1,.\public\assets\thumbnails\chibi\chrysswim.jpg
chib026,Take a Seat??,png,22/2/2025,,dbhchair,"chibi, fanart, dbh, connor, alice",1,.\public\assets\thumbnails\chibi\dbhchair.jpg
chib021,Enciodes,jpg,19/3/2023,,enciodes,"chibi, fanart, arknights",1,.\public\assets\thumbnails\chibi\enciodes.jpg
chib022,Ensia,jpg,19/3/2023,,ensia,"chibi, fanart, arknights",1,.\public\assets\thumbnails\chibi\ensia.jpg
chib023,Enya,jpg,19/3/2023,,enya,"chibi, fanart, arknights",1,.\public\assets\thumbnails\chibi\enya.jpg
chib024,Honolulu,jpg,4/8/2025,,honoluluchib,"chibi, fanart, azur lane, USS",1,.\public\assets\thumbnails\chibi\honoluluchib.jpg
chib025,Patricia Abelheim (Azur Lane),png,8/8/2023,from Azur Lane collab,patricia,"chibi, fanart, azur lane, collab",1,.\public\assets\thumbnails\chibi\patricia.jpg
chib027,Marie Rose (Azur Lane),png,3/5/2023,,rosemary,"chibi, fanart, azur lane, collab",1,.\public\assets\thumbnails\chibi\rosemary.jpg
