id,title,fileType,date,description,name,tags,digital,thumbPath
ootd01,2018 Spring,jpg,23/9/2018,,me,"ootd, fullbody, flat",1,.\public\assets\thumbnails\ootd\me.jpg
ootd19,2025 Autumn,jpg,17/9/2025,,me50s,"ootd, fullbody, flat",1,.\public\assets\thumbnails\ootd\me50s.jpg
ootd14,2017 Winter,png,5/8/2017,,meanu,"ootd, fullbody, flat",1,.\public\assets\thumbnails\ootd\meanu.jpg
ootd15,2015,png,4/9/2017,,meband,"ootd, fullbody, flat",1,.\public\assets\thumbnails\ootd\meband.jpg
ootd02,2018 Spring,jpg,24/9/2018,,mecheckered,"ootd, fullbody, flat",1,.\public\assets\thumbnails\ootd\mecheckered.jpg
ootd16,2018 Spring,png,14/10/2018,,meclari,"ootd, fullbody, flat",1,.\public\assets\thumbnails\ootd\meclari.jpg
ootd20,2025 Spring,jpg,10/2/2025,,mecny,"ootd, fullbody, flat",1,.\public\assets\thumbnails\ootd\mecny.jpg
ootd21,2025 Spring,jpg,9/2/2025,,mecny2,"ootd, fullbody, flat",1,.\public\assets\thumbnails\ootd\mecny2.jpg
ootd03,2018 Spring,jpg,6/10/2018,,meconcert,"ootd, fullbody, flat",1,.\public\assets\thumbnails\ootd\meconcert.jpg
ootd22,2019 Winter,jpg,24/7/2024,,mecool,"ootd, fullbody, flat",1,.\public\assets\thumbnails\ootd\mecool.jpg
ootd04,2018 Spring,jpg,26/9/2018,,meded,"ootd, fullbody, flat",1,.\public\assets\thumbnails\ootd\meded.jpg
ootd23,2025 Spring,jpg,20/9/2025,,medijon,"ootd, fullbody, flat",1,.\public\assets\thumbnails\ootd\medijon.jpg
ootd24,Someday…,jpg,9/9/2024,,mefake,"ootd, fullbody, flat",1,.\public\assets\thumbnails\ootd\mefake.jpg
ootd25,2024 Summer,jpg,3/7/2024,,mefly,"ootd, fullbody, flat",1,.\public\assets\thumbnails\ootd\mefly.jpg
ootd26,2025 Spring,jpg,1/4/2025,,mehksp,"ootd, fullbody, flat",1,.\public\assets\thumbnails\ootd\mehksp.jpg
ootd27,2025 Spring,jpg,1/4/2025,,mehksp2,"ootd, fullbody, flat",1,.\public\assets\thumbnails\ootd\mehksp2.jpg
